date,day_type,transport_mode,distance_km,electricity_kwh,food_type,screen_time_hours,carbon_footprint_kg
2025-11-21,Weekday,Bus,45.17,7.77,Mixed,7.9,11.72
2025-11-22,Weekend,Car,48.94,11.77,Non-Veg,6.7,24.5
2025-11-23,Weekend,EV,14.17,11.41,Non-Veg,2.4,15.27
2025-11-24,Weekday,EV,29.66,4.28,Non-Veg,3.9,13.2
2025-11-25,Weekday,EV,31.7,18.46,Non-Veg,7.3,18.97
2025-11-26,Weekday,Walk,9.67,9.99,Mixed,6.1,9.0
2025-11-27,Weekday,Car,32.12,11.15,Non-Veg,3.1,20.88
2025-11-28,Weekday,Bike,8.49,12.2,Veg,2.2,6.88
2025-11-29,Weekend,Walk,2.94,14.25,Veg,9.8,7.7
2025-11-30,Weekend,Bike,0.61,10.44,Mixed,7.6,9.18
2025-12-01,Weekday,EV,1.64,9.51,Non-Veg,8.4,13.89
2025-12-02,Weekday,Walk,7.4,14.04,Veg,9.0,7.62
2025-12-03,Weekday,Walk,2.07,8.42,Veg,6.4,5.37
2025-12-04,Weekday,Bus,2.43,11.41,Non-Veg,6.8,14.76
2025-12-05,Weekday,Walk,3.85,14.17,Mixed,4.9,10.67
2025-12-06,Weekend,Walk,9.79,16.62,Non-Veg,7.6,16.65
2025-12-07,Weekend,Bus,28.48,4.66,Mixed,9.5,9.14
2025-12-08,Weekday,Walk,7.05,18.41,Non-Veg,9.1,17.36
2025-12-09,Weekday,Car,5.79,7.13,Non-Veg,1.6,14.01
2025-12-10,Weekday,Bike,8.86,6.78,Non-Veg,7.7,12.71
2025-12-11,Weekday,Bike,0.74,19.42,Veg,10.0,9.77
2025-12-12,Weekday,Bus,12.62,12.1,Veg,4.0,7.85
2025-12-13,Weekend,EV,6.16,8.06,Mixed,9.2,8.53
2025-12-14,Weekend,Bike,7.09,10.31,Veg,6.9,6.12
2025-12-15,Weekday,Car,31.09,13.71,Non-Veg,9.2,21.7
2025-12-16,Weekday,Walk,4.68,10.39,Mixed,6.7,9.16
2025-12-17,Weekday,Bus,42.47,13.32,Mixed,8.2,13.73
2025-12-18,Weekday,EV,26.47,10.3,Veg,6.5,7.44
2025-12-19,Weekday,Car,23.7,18.22,Veg,2.4,14.03
2025-12-20,Weekend,EV,29.13,9.13,Non-Veg,5.2,15.11
2025-12-21,Weekend,EV,2.46,12.38,Mixed,3.1,10.08
2025-12-22,Weekday,Bus,33.0,12.05,Veg,2.2,9.46
2025-12-23,Weekday,EV,7.02,4.2,Mixed,1.1,7.03
2025-12-24,Weekday,Walk,2.0,3.65,Non-Veg,4.4,11.46
2025-12-25,Weekday,Bike,1.29,14.14,Veg,4.9,7.66
2025-12-26,Weekday,EV,20.84,11.53,Mixed,1.9,10.65
2025-12-27,Weekend,EV,15.53,4.3,Mixed,4.4,7.5
2025-12-28,Weekend,Bike,6.62,15.95,Mixed,6.8,11.38
2025-12-29,Weekday,EV,5.95,4.5,Veg,5.2,4.1
2025-12-30,Weekday,Bus,41.62,2.81,Mixed,7.9,9.45
2025-12-31,Weekday,EV,0.19,6.33,Non-Veg,4.1,12.54
2026-01-01,Weekday,Walk,5.08,11.43,Mixed,7.7,9.57
2026-01-02,Weekday,Walk,3.95,16.42,Veg,5.5,8.57
2026-01-03,Weekend,EV,28.98,11.26,Veg,6.1,7.95
2026-01-04,Weekend,Car,23.97,8.33,Veg,4.1,10.13
2026-01-05,Weekday,Bus,36.96,19.78,Mixed,1.7,15.87
2026-01-06,Weekday,EV,10.86,7.76,Non-Veg,3.2,13.65
2026-01-07,Weekday,EV,22.08,5.52,Mixed,9.4,8.31
2026-01-08,Weekday,Bus,22.55,13.97,Veg,7.5,9.39
2026-01-09,Weekday,Walk,0.96,13.2,Non-Veg,7.3,15.28
2026-01-10,Weekend,Bus,9.83,5.0,Non-Veg,5.6,12.79
2026-01-11,Weekend,Bike,6.88,8.31,Mixed,3.9,8.32
2026-01-12,Weekday,Walk,5.12,17.97,Mixed,5.7,12.19
2026-01-13,Weekday,Walk,2.08,18.26,Non-Veg,5.3,17.3
2026-01-14,Weekday,Bike,2.31,11.59,Veg,2.0,6.64
2026-01-15,Weekday,Bike,0.16,6.61,Veg,5.6,4.64
2026-01-16,Weekday,Bike,5.64,3.75,Non-Veg,2.6,11.5
2026-01-17,Weekend,Bike,7.64,3.0,Veg,5.2,3.2
2026-01-18,Weekend,EV,17.52,17.83,Non-Veg,3.7,18.01
2026-01-19,Weekday,Walk,6.22,10.82,Non-Veg,8.4,14.33
2026-01-20,Weekday,Car,36.75,10.73,Non-Veg,3.5,21.64
2026-01-21,Weekday,Bike,7.74,16.76,Mixed,2.6,11.7
2026-01-22,Weekday,EV,0.59,14.37,Mixed,2.7,10.78
2026-01-23,Weekday,EV,49.89,2.59,Mixed,7.6,8.53
2026-01-24,Weekend,EV,14.79,8.55,Mixed,1.4,9.16
2026-01-25,Weekend,Car,35.38,14.13,Veg,8.0,14.73
2026-01-26,Weekday,Bus,10.61,17.32,Veg,7.6,9.78
2026-01-27,Weekday,Bus,4.89,19.93,Non-Veg,9.3,18.36
2026-01-28,Weekday,Car,8.57,2.61,Mixed,10.0,7.76
2026-01-29,Weekday,EV,2.1,17.45,Veg,1.8,9.09
2026-01-30,Weekday,Walk,4.15,19.23,Mixed,6.7,12.69
2026-01-31,Weekend,Walk,2.46,19.15,Mixed,1.3,12.66
2026-02-01,Weekend,Walk,5.89,17.74,Mixed,2.1,12.1
2026-02-02,Weekday,Walk,9.92,18.85,Mixed,3.1,12.54
2026-02-03,Weekday,Walk,4.36,11.66,Veg,5.6,6.66
2026-02-04,Weekday,Bike,6.57,8.7,Veg,1.7,5.48
2026-02-05,Weekday,Bike,8.61,3.83,Veg,6.6,3.53
2026-02-06,Weekday,EV,31.43,3.25,Mixed,8.3,7.87
2026-02-07,Weekend,Bus,7.85,14.55,Veg,4.4,8.45
2026-02-08,Weekend,Bike,7.68,4.32,Veg,1.4,3.73
2026-02-09,Weekday,Bus,26.23,7.79,Mixed,3.9,10.21
2026-02-10,Weekday,Walk,7.32,14.24,Veg,1.8,7.7
2026-02-11,Weekday,Bus,37.62,10.46,Mixed,7.7,12.19
2026-02-12,Weekday,Bike,3.64,13.57,Non-Veg,9.9,15.43
2026-02-13,Weekday,Car,4.17,4.66,Mixed,9.6,7.7
2026-02-14,Weekend,Bus,16.07,2.47,Non-Veg,4.2,12.27
2026-02-15,Weekend,Bike,0.56,16.48,Veg,7.9,8.59
2026-02-16,Weekday,Walk,7.13,15.72,Non-Veg,9.7,16.29
2026-02-17,Weekday,Bike,3.41,14.46,Mixed,9.3,10.78
2026-02-18,Weekday,EV,30.4,19.05,Mixed,8.4,14.14
2026-02-19,Weekday,Car,12.24,19.68,Veg,9.4,12.32
2026-02-20,Weekday,Walk,0.78,18.06,Non-Veg,3.0,17.22
2026-02-21,Weekend,Bike,4.61,16.49,Mixed,1.7,11.6
2026-02-22,Weekend,Walk,5.84,7.01,Non-Veg,4.4,12.8
2026-02-23,Weekday,Bus,39.24,13.77,Veg,9.7,10.65
2026-02-24,Weekday,Walk,9.01,6.39,Mixed,2.0,7.56
